"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"3934",8.7,0.31,0.21,5.6,0.039,28,67,0.99328,2.96,0.52,11,4
"3968",6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,4
"1035",7.9,0.64,0.46,10.6,0.244,33,227,0.9983,2.87,0.74,9.1,4
"1542",7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,4
"190",6.5,0.28,0.28,8.5,0.047,54,210,0.9962,3.09,0.54,8.9,4
"4610",6,0.615,0.04,0.8,0.032,8,50,0.99036,3.14,0.4,11,4
"1650",6.9,0.26,0.49,1.6,0.058,39,166,0.9965,3.65,0.52,9.4,4
"1424",9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10,4
"252",8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,4
"1110",9.2,0.22,0.4,2.4,0.054,18,151,0.9952,3.04,0.46,9.3,4
"4879",6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,4
"3974",6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,4
"3663",6.1,0.6,0.12,1.8,0.05,11,76,0.99268,3.42,0.48,10.4,4
"4279",5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,4
"4040",6.1,1.1,0.16,4.4,0.033,8,109,0.99058,3.35,0.47,12.4,4
"3110",6.9,0.3,0.36,4.5,0.054,31,203,0.99513,3.4,0.57,10.4,4
"1230",8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,4
"663",7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2,4
"2155",9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4
"832",7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4
"1740",8.4,0.29,0.29,1.05,0.032,4,55,0.9908,2.91,0.32,11.4,4
"1485",7.5,0.32,0.24,4.6,0.053,8,134,0.9958,3.14,0.5,9.1,4
"1575",8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,4
"703",6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4
"279",6.8,0.32,0.34,1.2,0.044,14,67,0.9919,3.05,0.47,10.6,4
"2319",7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4
"2504",8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
"1364",6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,4
"1559",6.2,0.43,0.49,6.4,0.045,12,115,0.9963,3.27,0.57,9,4
"1294",6.9,0.39,0.22,4.3,0.03,10,102,0.993,3,0.87,11.6,4
"3737",6.5,0.32,0.48,8,0.026,18,88,0.99144,3.22,0.79,12.7,4
"434",7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2,4
"3529",6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,4
"741",6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,4
"3276",6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,4
"1782",6.1,0.32,0.37,1.8,0.051,13,200,0.9945,3.49,0.44,10.5,4
"446",7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,4
"688",6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9,4
"2414",7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4
"4780",6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,4
"2532",6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
"4840",5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,4
"1484",6.9,0.25,0.24,3.6,0.057,13,85,0.9942,2.99,0.48,9.5,4
"2120",8,0.16,0.36,1.5,0.033,14,122,0.9941,3.2,0.39,10.3,4
"4775",7.1,0.24,0.34,1.2,0.045,6,132,0.99132,3.16,0.46,11.2,4
"3068",7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,4
"3266",4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,4
"2226",7.6,0.23,0.26,15.3,0.067,32,166,0.9986,3.03,0.44,9.2,4
"3651",6.9,0.19,0.6,4,0.037,6,122,0.99255,2.92,0.59,10.4,4
"2388",6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,4
"1689",6.7,0.25,0.26,1.55,0.041,118.5,216,0.9949,3.55,0.63,9.4,4
"1665",8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9,4
"283",6.8,0.44,0.37,5.1,0.047,46,201,0.9938,3.08,0.65,10.5,4
"3418",6.7,0.64,0.3,1.2,0.03,18,76,0.9892,3.16,0.6,12.9,4
"1153",6.1,0.6,0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4
"500",7.2,0.4,0.62,10.8,0.041,70,189,0.9976,3.08,0.49,8.6,4
"874",10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,4
"2380",6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4
"4746",6.1,0.26,0.25,2.9,0.047,289,440,0.99314,3.44,0.64,10.5,4
"1952",9.9,1.005,0.46,1.4,0.046,34,185,0.9966,3.02,0.49,10.2,4
"1295",6.9,0.41,0.22,4.2,0.031,10,102,0.993,3,0.86,11.6,4
"2495",7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
"3219",6.5,0.29,0.25,2.5,0.142,8,111,0.9927,3,0.44,9.9,4
"1041",8.2,0.68,0.3,2.1,0.047,17,138,0.995,3.22,0.71,10.8,4
"1115",6.5,0.52,0.17,1.4,0.047,5,26,0.9932,3.26,0.32,10,4
"2436",6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,4
"4223",6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4
"1719",9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9,4
"1060",5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7,4
"2238",6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4
"2410",7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4
"4509",5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4
"1580",7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,4
"1074",7.7,0.34,0.3,8,0.048,25,192,0.9951,2.97,0.47,10.9,5
"2209",7.1,0.26,0.3,2,0.031,13,128,0.9917,3.19,0.49,11.4,5
"1673",6.6,0.26,0.31,4.8,0.138,41,168,0.9951,3.2,0.38,9.3,5
"4157",6.3,0.34,0.52,6.3,0.047,63,186,0.99481,3.18,0.44,9.6,5
"1586",7.3,0.3,0.74,13.5,0.039,46,165,0.9982,3.02,0.4,8.7,5
"3524",6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5
"3399",6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5
"2138",7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5
"3777",6.9,0.33,0.31,7.7,0.04,29,135,0.99226,3.11,0.57,12.3,5
"1957",7.2,0.15,0.33,1.1,0.027,16,63,0.9937,3.37,0.4,9.9,5
"4156",6.1,0.3,0.47,1.4,0.049,50,187,0.9927,3.19,0.45,9.5,5
"4607",6.9,0.29,0.32,5.8,0.04,16,112,0.993,3.04,0.58,11.2,5
"980",6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,5
"1120",6.4,0.5,0.16,12.9,0.042,26,138,0.9974,3.28,0.33,9,5
"4359",6.5,0.23,0.2,7.5,0.05,44,179,0.99504,3.18,0.48,9.53333333333333,5
"4330",6.4,0.23,0.26,8.1,0.054,47,181,0.9954,3.12,0.49,9.4,5
"4164",7.2,0.26,0.38,1.5,0.061,12,120,0.99192,3.18,0.46,10.4,5
"1649",7.1,0.3,0.49,1.6,0.045,31,100,0.9942,3.4,0.59,10.2,5
"4789",6.4,0.31,0.31,12.9,0.045,55,161,0.99546,3.02,0.59,10.2,5
"408",6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,5
"730",6,0.33,0.27,0.8,0.185,12,188,0.9924,3.12,0.62,9.4,5
"1704",6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5
"4292",7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5
"414",7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
"2441",6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,5
"413",7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
"807",6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5
"2615",6.15,0.21,0.37,3.2,0.021,20,80,0.99076,3.39,0.47,12,5
"938",6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5
"2780",6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,5
"1318",7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5
"694",5.9,0.37,0.14,6.3,0.036,34,185,0.9944,3.17,0.63,9.8,5
"465",7.2,0.39,0.62,11,0.047,66,178,0.9976,3.16,0.5,8.7,5
"1355",7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,5
"3936",7,0.46,0.2,16.7,0.046,50,184,0.99898,3.08,0.56,9.4,5
"639",5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,5
"1948",5.7,0.45,0.42,1.1,0.051,61,197,0.9932,3.02,0.4,9,5
"728",7,0.21,0.34,8,0.057,19,101,0.9954,2.99,0.59,9.4,5
"1965",6.8,0.31,0.42,6.9,0.046,50,173,0.9958,3.19,0.46,9,5
"802",6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5
"195",6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5
"3720",6.6,0.3,0.45,8,0.038,54,200,0.9956,3.18,0.48,9.5,5
"3757",5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5
"2143",7.5,0.26,0.52,13.2,0.047,64,179,0.9982,3.1,0.46,9,5
"1873",5.8,0.33,0.2,16.05,0.047,26,166,0.9976,3.09,0.46,8.9,5
"4255",7.5,0.29,0.24,9.9,0.058,25,115,0.99567,3.15,0.46,10.9,5
"3758",6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5
"4449",7.3,0.3,0.25,2.5,0.045,32,122,0.99329,3.18,0.54,10.3,5
"183",6.8,0.28,0.4,22,0.048,48,167,1.001,2.93,0.5,8.7,5
"3893",6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,5
"744",5.9,0.26,0.25,12.5,0.034,38,152,0.9977,3.33,0.43,9.4,5
"2951",6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5
"568",6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,5
"185",6.8,0.26,0.56,11.9,0.043,64,226,0.997,3.02,0.63,9.3,5
"3271",6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,5
"3430",7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,5
"1883",7.7,0.3,0.42,14.3,0.045,45,213,0.9991,3.18,0.63,9.2,5
"2470",6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5
"3711",4.7,0.67,0.09,1,0.02,5,9,0.98722,3.3,0.34,13.6,5
"105",7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5
"2713",6.4,0.21,0.44,7.4,0.045,47,182,0.9957,3.24,0.46,9.1,5
"4662",8,0.23,0.41,1.1,0.048,35,150,0.99168,3.09,0.47,11.2,5
"4393",6.2,0.25,0.44,15.8,0.057,39,167,0.99804,3.14,0.51,9.2,5
"2755",5.9,0.17,0.28,0.7,0.027,5,28,0.98985,3.13,0.32,10.6,5
"40",7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5
"2250",6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5
"2136",7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,5
"693",6,0.36,0.16,6.3,0.036,36,191,0.9942,3.17,0.62,9.8,5
"4041",6.3,0.24,0.29,1.6,0.052,48,185,0.9934,3.21,0.5,9.4,5
"2445",7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5
"2656",6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1,5
"4398",7.4,0.27,0.26,11.8,0.053,55,173,0.99699,3.11,0.6,9.8,5
"2878",6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3,5
"1940",6.8,0.31,0.32,7.6,0.052,35,143,0.9959,3.14,0.38,9,5
"640",5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5
"2149",7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5
"197",6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5
"2028",6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5
"4220",7,0.44,0.24,12.1,0.056,68,210,0.99718,3.05,0.5,9.5,5
"2052",6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5
"2900",6.2,0.21,0.26,13.1,0.05,59,150,0.99772,3.31,0.46,9,5
"865",4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5
"1849",8.7,0.49,0.57,17.8,0.052,34,243,1.0007,2.98,0.82,9,5
"1510",7.9,0.2,0.49,1.6,0.053,15,144,0.993,3.16,0.47,10.5,5
"428",6.8,0.29,0.5,13.3,0.053,48,194,0.9974,3.09,0.45,9.4,5
"2386",7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,5
"4481",5.9,0.22,0.45,22.6,0.12,55,122,0.99636,3.1,0.35,12.8,5
"1119",5.8,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5
"520",7.2,0.34,0.34,12.6,0.048,7,41,0.9942,3.19,0.4,11.7,5
"2573",7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,5
"3183",5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5
"3710",6.7,0.31,0.09,1.4,0.039,53,141,0.99206,3.12,0.44,10.1,5
"3581",7.5,0.3,0.21,6.55,0.026,33,143,0.99244,2.92,0.35,11.1,5
"2309",9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
"2107",8.5,0.24,0.47,15.2,0.057,40,234,1.0005,3.02,0.66,9,5
"914",5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
"3058",7.2,0.27,0.37,5.4,0.026,27,114,0.99174,3.13,0.84,12.7,5
"4128",6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,5
"2203",7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5
"2850",7.7,0.43,0.37,10,0.169,22,210,0.99776,3.02,0.64,9.5,5
"4443",6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,5
"1330",8.4,0.19,0.43,2.1,0.052,20,104,0.994,2.85,0.46,9.5,5
"675",6.4,0.32,0.5,10.7,0.047,57,206,0.9968,3.08,0.6,9.4,5
"2140",7.1,0.33,0.64,13.2,0.056,12,105,0.9972,3.05,0.39,9.2,5
"3065",7.4,0.21,0.8,12.3,0.038,77,183,0.99778,2.95,0.48,9,5
"2431",6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5
"481",6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5
"4893",6.5,0.23,0.38,1.3,0.032,29,112,0.99298,3.29,0.54,9.7,5
"13",7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5
"745",7.4,0.38,0.27,7.5,0.041,24,160,0.99535,3.17,0.43,10,5
"1181",8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,5
"3717",6.8,0.22,0.26,1.2,0.041,29,182,0.99104,3.04,0.35,11.2,5
"429",7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5
"275",7,0.29,0.54,10.7,0.046,59,234,0.9966,3.05,0.61,9.5,5
"4186",6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,5
"2912",6.2,0.36,0.14,8.9,0.036,38,155,0.99622,3.27,0.5,9.4,5
"1502",8.3,0.2,0.49,1.7,0.04,34,169,0.9938,3.05,0.37,10.1,5
"4361",7.3,0.28,0.35,1.6,0.054,31,148,0.99178,3.18,0.47,10.7,5
"3137",5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5
"4466",6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5
"4127",6.3,0.18,0.22,5.6,0.047,45,147,0.99383,3.09,0.54,10,5
"2047",8.3,0.33,0.43,9.2,0.046,22,126,0.9982,3.38,0.47,9.3,5
"1680",6.4,0.35,0.2,5.7,0.034,18,117,0.9944,3.33,0.43,10.1,5
"2148",6.4,0.29,0.2,15.6,0.04,20,142,0.9962,3.1,0.54,10.6,5
"1579",6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5
"1055",7,0.31,0.52,1.7,0.029,5,61,0.9918,3.07,0.43,10.4,5
"120",7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5
"4071",6.1,0.28,0.27,8,0.048,41,162,0.99498,3.21,0.51,9.9,5
"2972",7.3,0.26,0.24,1.7,0.05,10,112,0.99286,3.11,0.43,9.9,5
"1265",7.2,0.14,0.35,1.2,0.036,15,73,0.9938,3.46,0.39,9.9,5
"2196",6.8,0.25,0.18,1.4,0.056,13,137,0.9935,3.11,0.42,9.5,5
"1777",6.6,0.25,0.35,14,0.069,42,163,0.999,3.56,0.47,9.8,5
"649",6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,5
"2566",7.3,0.37,0.16,14.9,0.048,59,240,0.99902,3.13,0.45,8.9,5
"1615",8,0.29,0.49,11.7,0.035,40,131,0.9958,3.14,0.34,10.8,5
"2106",6.8,0.32,0.34,6,0.05,5,129,0.9953,3.19,0.4,9.1,5
"2360",6,0.495,0.27,5,0.157,17,129,0.99396,3.03,0.36,9.3,5
"2626",4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,5
"119",7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5
"2637",7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5
"3730",7.5,0.28,0.41,1.3,0.044,11,126,0.99293,3.28,0.45,10.3,5
"1190",7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,5
"3453",8,0.24,0.48,6.8,0.047,13,134,0.99616,3.23,0.7,10,5
"2614",6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
"659",6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5
"2183",6.6,0.32,0.27,10.9,0.041,37,146,0.9963,3.24,0.47,10,5
"2234",6.5,0.39,0.35,1.6,0.049,10,164,0.99516,3.35,0.51,9.7,5
"2342",7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
"2046",8.7,0.24,0.35,0.6,0.042,11,71,0.9926,3.08,0.38,10.6,5
"326",7.5,0.27,0.31,5.8,0.057,131,313,0.9946,3.18,0.59,10.5,5
"4637",6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.5666666666667,5
"1313",9.6,0.25,0.54,1.3,0.04,16,160,0.9938,2.94,0.43,10.5,5
"857",8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
"4474",7.1,0.36,0.2,1.6,0.271,24,140,0.99356,3.11,0.63,9.8,5
"402",6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5
"2419",6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,5
"2888",6.4,0.2,0.28,2.5,0.032,24,84,0.99168,3.31,0.55,11.5,5
"2485",6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,5
"1702",7.9,0.29,0.36,11.1,0.033,43,208,0.9969,3.14,0.46,10.3,5
"4165",7,0.31,0.35,1.6,0.063,13,119,0.99184,3.22,0.5,10.7,5
"1854",8.3,0.27,0.39,2.4,0.058,16,107,0.9955,3.28,0.59,10.3,5
"2241",7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,5
"1053",7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5
"186",6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,5
"4236",6.4,0.29,0.18,15,0.04,21,116,0.99736,3.14,0.5,9.2,5
"3290",6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5
"2201",6.4,0.24,0.23,7.3,0.069,31,157,0.9962,3.25,0.53,9.1,5
"1176",6.4,0.25,0.41,8.6,0.042,57,173,0.9965,3,0.44,9.1,5
"141",6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5
"4522",6.3,0.36,0.2,2,0.048,48,191,0.9929,3.17,0.51,9.6,5
"1888",7.3,0.24,0.41,13.6,0.05,41,178,0.9988,3.37,0.43,9.7,5
"404",7.1,0.27,0.31,18.2,0.046,55,252,1,3.07,0.56,8.7,5
"2898",6.7,0.42,0.46,9.7,0.054,67,234,0.99848,3.23,0.5,9,5
"1676",6.2,0.27,0.32,8.8,0.047,65,224,0.9961,3.17,0.47,8.9,5
"4198",6.3,0.3,0.48,7.4,0.053,34,149,0.99472,3.18,0.53,9.8,5
"4138",7.4,0.31,0.26,8.6,0.048,47,206,0.9964,3.26,0.36,9.1,5
"1955",8,0.25,0.13,17.2,0.036,49,219,0.9996,2.96,0.46,9.7,5
"2679",7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5
"1825",6.5,0.32,0.12,11.5,0.033,35,165,0.9974,3.22,0.32,9,5
"1095",7.4,0.24,0.31,8.4,0.045,52,183,0.9963,3.09,0.32,8.8,5
"2670",6.8,0.26,0.4,7.5,0.046,45,179,0.99583,3.2,0.49,9.3,5
"700",7.4,0.31,0.48,14.2,0.042,62,204,0.9983,3.06,0.59,9.4,5
"461",7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5
"4458",6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5
"1907",6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,5
"178",5.9,0.23,0.3,12.9,0.054,57,170,0.9972,3.28,0.39,9.4,5
"2739",6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,5
"3695",7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,5
"4301",6.4,0.29,0.3,6.5,0.209,62,156,0.99478,3.1,0.4,9.4,5
"334",6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5
"1975",7.5,0.26,0.26,18.35,0.084,33,139,1.0011,3.17,0.39,8.8,5
